label,message
ham,We are okay. Going to sleep now. Later
ham,I wont get concentration dear you know you are my mind and everything :-)
ham,Actually i'm waiting for 2 weeks when they start putting ad.
ham,Cbe is really good nowadays:)lot of shop and showrooms:)city is shaping good.
ham,"Princess, i like to make love  &lt;#&gt;  times per night. Hope thats not a problem!"
ham,Nice.nice.how is it working?
ham,I forgot 2 ask Ã_ all smth.. There's a card on da present lei... How? ÃÃ all want 2 write smth or sign on it?
ham,"[ÂÃ_] anyway, many good evenings to u! s"
ham,Shall I bring us a bottle of wine to keep us amused? Only joking! IÂÃÃ·ll bring one anyway
ham,Otherwise had part time job na-tuition..
ham,Then mum's repent how?
ham,Oooh bed ridden ey? What are YOU thinking of?
ham,Thanks for your message. I really appreciate your sacrifice. I'm not sure of the process of direct pay but will find out on my way back from the test tomorrow. I'm in class now. Do have a wonderful day.
ham,Great! I have to run now so ttyl!
ham,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
ham,Just seeing your missed call my dear brother. Do have a gr8 day.
ham,"I think IÂÃÃ·m waiting for the same bus! Inform me when you get there, if you ever get there."
ham,I am in hospital da. . I will return home in evening
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,Lol no. Just trying to make your day a little more interesting
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,I dunno they close oredi not... ÃÃ v ma fan...
ham,Ryder unsold.now gibbs.
ham,"Haven't seen my facebook, huh? Lol!"
ham,Omg I want to scream. I weighed myself and I lost more weight! Woohoo!
ham,The monthly amount is not that terrible and you will not pay anything till 6months after finishing school.
ham,Aiyo a bit pai seh Ã_ noe... Scared he dun rem who i am then die... Hee... But he become better lookin oredi leh...
ham,Ok. Not sure what time tho as not sure if can get to library before class. Will try. See you at some point! Have good eve.
ham,Now am free call me pa.
ham,Still at west coast... Haiz... ÃÃ'll take forever to come back...
ham,Hey. For me there is no leave on friday. Wait i will ask my superior and tell you..
ham,I doubt you could handle 5 times per night in any case...
ham,"Hi hope u r both ok, he said he would text and he hasn't, have u seen him, let me down gently please "
ham,"Gal n boy walking in d park. gal-can i hold ur hand? boy-y? do u think i would run away? gal-no, jst wana c how it feels walking in heaven with an prince..GN:-)"
ham,Shhhhh nobody is supposed to know!
ham,"Dear,shall mail tonite.busy in the street,shall update you tonite.things are looking ok.varunnathu edukkukayee raksha ollu.but a good one in real sense."
ham,Let me know when you've got the money so carlos can make the call
ham,Where you. What happen
ham,Kallis wont bat in 2nd innings.
ham,Dear we are going to our rubber place
ham,Never blame a day in ur life. Good days give u happiness. Bad days give u experience. Both are essential in life! All are Gods blessings! good morning.:
ham,Dont think so. It turns off like randomlly within 5min of opening
ham,"Sir, I need Velusamy sir's date of birth and company bank facilities details."
ham,Then get some cash together and I'll text jason
ham,Gud ni8 dear..slp well..take care..swt dreams..Muah..
ham,Just taste fish curry :-P
ham,Probably earlier than that if the station's where I think it is
ham,"Sorry, I'll call later"
ham,Yunny i'm walking in citylink now Ã_ faster come down... Me very hungry...
ham,Excellent! Are you ready to moan and scream in ecstasy?
ham,"you are sweet as well, princess. Please tell me your likes and dislikes in bed..."
ham,Good Morning my Dear Shijutta........... Have a great &amp; successful day.
ham,"Whatever, juliana. Do whatever you want."
ham,Hey hun-onbus goin 2 meet him. He wants 2go out 4a meal but I donyt feel like it cuz have 2 get last bus home!But hes sweet latelyxxx
ham,Thank you princess! You are so sexy...
ham,"Sorry, I'll call later"
ham,"Just arrived, see you in a couple days &lt;3"
ham,\YEH I AM DEF UP4 SOMETHING SAT
ham,"LOOK AT AMY URE A BEAUTIFUL, INTELLIGENT WOMAN AND I LIKE U A LOT. I KNOW U DONÃ¥ÃT LIKE ME LIKE THAT SO DONÃ¥ÃT WORRY."
ham,Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.
ham,* Thought I didn't see you.
ham,Okay same with me. Well thanks for the clarification
ham,Anything lor. Juz both of us lor.
ham,S..antha num corrct dane
ham,"\Im on gloucesterroad what are uup to later?\"""""
ham,I send the print  outs da.
ham,I want to be inside you every night...
ham,Yes I know the cheesy songs from frosty the snowman :)
ham,Lmao ok I wont be needing u to do my hair anymore.
ham,Yeah that'd pretty much be the best case scenario
ham,Dude im no longer a pisces. Im an aquarius now.
ham,"'Wnevr i wana fal in luv vth my books, My bed fals in luv vth me..!'' . Yen madodu, nav pretsorginta, nammanna pretsovru important alwa....!!:) Gud eveB-)."
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
ham,Great. P diddy is my neighbor and comes for toothpaste every morning
ham,"Goodmorning,my grandfather expired..so am on leave today."
ham,"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later."
ham,U still going to the mall?
ham,Did u got that persons story
ham,I want to send something that can sell fast.  &lt;#&gt; k is not easy money.
ham,I'm not sure if its still available though
ham,U should make a fb list
ham,Fuck cedar key and fuck her (come over anyway tho)
ham,Anytime lor...
ham,Pathaya enketa maraikara pa'
ham,I went to ur hon lab but no one is there.
